particulars,functions_programs_or_project_1,functions_programs_or_project_2,functions_programs_or_project_3,functions_programs_or_project_4,code,appropriations,allotments,obligations,balances_of_appropriation,balances_of_allotment,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of 1 unit Day Care Center w or Embankment, San Rafael","Construction of 1 unit Day Care Center w or Embankment, San Rafael",-,31862.69,31862.69,31862.69,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of 1 unit Day Care Center, Sta. Mesa","Construction of 1 unit Day Care Center, Sta. Mesa",-,29540.98,29540.98,29540.98,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Quigaray Drainage System,Construction of Quigaray Drainage System,-,30077.09,30077.09,30077.09,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Antipolo Drainage System,Construction of Antipolo Drainage System,-,24847.71,24847.71,24847.71,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Sta. Teresa Drainage System w or Stone Masonry Canal Outlet,Construction of Sta. Teresa Drainage System w or Stone Masonry Canal Outlet,-,25436.46,25436.46,25436.46,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Improvement of Magsaysay BR w or Drainage Canal,Improvement of Magsaysay BR w or Drainage Canal,-,8930.39,8930.39,8930.39,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Improvement of Salvacion BR w or Slope Protection,Improvement of Salvacion BR w or Slope Protection,-,6199.68,6199.68,6199.68,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Construction of Cahan Spillway w or Slope Protection and Embankment,Construction of Cahan Spillway w or Slope Protection and Embankment,-,76508.39,76508.39,76508.39,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of San Vicente Water System, Level 2","Construction of San Vicente Water System, Level 3",-,77108.96,77108.96,77108.96,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Const of Bacak Spillway w or Slope Protection and Embankment,Const of Bacak Spillway w or Slope Protection and Embankment,-,41037.56,41037.56,41037.56,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc","Construction of 1 unit Day Care Center, Quezon","Construction of 1 unit Day Care Center, Quezon",-,29754.71,29754.71,29754.71,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Bagamanoc",Const of Sagrada Drainage System,Const of Sagrada Drainage System,-,21877.53,21877.53,21877.53,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran","KALAHI CIDDS Counterpart, Caramoran","KALAHI CIDDS Counterpart, Caramoran",300-4n,-,-,-,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Camburo Flood Control,Construction of Camburo Flood Control,-,135819,135819,135819,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Tucao Flood Control,Construction of Tucao Flood Control,-,119081,119081,119081,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Maysuram Flood Control,Construction of Maysuram Flood Control,-,101241,101241,101241,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Bulalacao Flood Control,Construction of Bulalacao Flood Control,-,15997,15997,15997,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Maui FTMR,Construction of Maui FTMR,-,14425,14425,14425,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Caramoran",Construction of Inalmasinan Flood Control,Construction of Inalmasinan Flood Control,-,113437,113437,113437,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Viga","KALAHI CIDDS Counterpart, Viga","KALAHI CIDDS Counterpart, Viga",-300-4o,-,-,-,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Viga",Construction of Water System,Construction of Water System,-,500000,500000,-,500000,500000,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto","KALAHI CIDDS Counterpart, Gigmoto","KALAHI CIDDS Counterpart, Gigmoto",-300-4p,-,-,-,-,-,
September 20% Development Economic Fund 2012,Social Sector,"KALAHI CIDDS Counterpart, Gigmoto",Construction of Water System,Construction of Water System,-,500000,500000,-,500000,500000,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Construction of Taopon - Tamahoyan FTMR, Pang.","Construction of Taopon - Tamahoyan FTMR, Pang.",300-5,5000000,5000000,4942658.29,57341.71,57341.71,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Sipi Road Opening, Bato","Sipi Road Opening, Bato",300-7,200000,200000,-,200000,200000,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation Of Sta. Elena Patagan FTMR, San Mig.","Rehabilitation Of Sta. Elena Patagan FTMR, San Mig.",300-9,4750000,4750000,4687417.12,62582.88,62582.88,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads",Concreting Of SIV to Palnab del Sur BR (Phase II),Concreting Of SIV to Palnab del Sur BR (Phase II),300-11,500000,500000,-,500000,500000,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of San Juan to District 2 BR, San Miguel","Concreting Of San Juan to District 2 BR, San Miguel",300-12,500000,500000,-,500000,500000,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Oguis - Tilis Road, Bato","Concreting Of Oguis - Tilis Road, Bato",300-13,200000,200000,-,200000,200000,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Comagaycay Rd, SA","Concreting Of Comagaycay Rd, SA",300-14,200000,200000,-,200000,200000,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Pagsangahan BR, San Miguel","Concreting Of Pagsangahan BR, San Miguel",300-15,300000,300000,-,300000,300000,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of BR P. Arcilla St., Rawis, VRC","Concreting Of BR P. Arcilla St., Rawis, VRC",300-16,400000,400000,389332.54,10667.46,10667.46,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of BR, JMA Poniton, VRC","Concreting Of BR, JMA Poniton, VRC",300-17,200000,200000,-,200000,200000,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of BR, Sogod Simamla, VRC","Concreting Of BR, Sogod Simamla, VRC",300-18,300000,300000,-,300000,300000,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of BR, Gogon Centro, VRC","Concreting Of BR, Gogon Centro, VRC",300-19,500000,500000,-,500000,500000,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Upgrading Of BR, Palnab del Sur (Sabang), VRC","Upgrading Of BR, Palnab del Sur (Sabang), VRC",300-20,300000,300000,-,300000,300000,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Ibong Sapa Pathway, VRC","Concreting Of Ibong Sapa Pathway, VRC",300-21,77344.88,77344.88,-,77344.88,77344.88,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation Of Batalay PR, Bato","Rehabilitation Of Batalay PR, Bato",300-22,500000,500000,-,500000,500000,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation Of Salvacion PR, Bagamanoc","Rehabilitation Of Salvacion PR, Bagamanoc",300-23,400000,400000,385493.89,14506.11,14506.11,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Pajo Baguio PR, VRC","Concreting Of Pajo Baguio PR, VRC",300-24,400000,400000,-,400000,400000,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Pajo San Isidro PR, VRC","Concreting Of Pajo San Isidro PR, VRC",300-25,400000,400000,-,400000,400000,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Antipolo del Norte PR, VRC","Concreting Of Antipolo del Norte PR, VRC",300-26,400000,400000,-,400000,400000,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Antipolo del Sur PR, VRC","Concreting Of Antipolo del Sur PR, VRC",300-27,400000,400000,-,400000,400000,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Igang PR, VRC","Concreting Of Igang PR, VRC",-300-29g,800000,800000,6894.67,793105.33,793105.33,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Concreting Of Talisoy PR, VRC","Concreting Of Talisoy PR, VRC",300-29h,400000,400000,-,400000,400000,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Upgrading Of Roads and Bridges, Provincewide","Upgrading Of Roads and Bridges, Provincewide",-300-29k,3000000,3000000,310940,2689060,2689060,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation Of Bonifacio St., Sta. Teresa, Bagamanoc","Rehabilitation Of Bonifacio St., Sta. Teresa, Bagamanoc",-300-29n,500000,500000,-,500000,500000,
September 20% Development Economic Fund 2012,Economic Sector,"Construction and Rehabilitation Of Roads, Bridges and Local Roads","Rehabilitation Of Datag-Maui FTMR, Caramoran","Rehabilitation Of Datag-Maui FTMR, Caramoran",-300-29m,500000,500000,-,500000,500000,
September 20% Development Economic Fund 2012,Economic Sector,"Bridges, Spillways and Culverts","Construction Of Osmeña Box Culvert to Pinatawan Creek, Viga","Construction Of Osmeña Box Culvert to Pinatawan Creek, Viga",-300-30a,500000,500000,483991.24,16008.76,16008.76,
September 20% Development Economic Fund 2012,Economic Sector,"Bridges, Spillways and Culverts","Rehabilitation Of Batalay Bridge Approach, Bato","Rehabilitation Of Batalay Bridge Approach, Bato",-300-30c,300000,300000,-,300000,300000,
September 20% Development Economic Fund 2012,Economic Sector,Erosion and Flood Control Projects,"Construction Of San Pedro-San Roque Drainage System, Virac","Construction Of San Pedro-San Roque Drainage System, Virac",-300-28d,500000,500000,494398.99,5601.01,5601.01,
September 20% Development Economic Fund 2012,Economic Sector,Erosion and Flood Control Projects,"Construction Of Sto Niño-Bliss Drainage System, Virac","Construction Of Sto Niño-Bliss Drainage System, Virac",-300-28j,750000,750000,-,750000,750000,
September 20% Development Economic Fund 2012,Economic Sector,Others,Others,"Rehabilitation Of Old Capitol Bldg, Phase III (Museum Center)",-300-29a,1500000,1500000,1479503.34,20496.66,20496.66,
September 20% Development Economic Fund 2012,Economic Sector,Others,Others,Rehabilitation Of Virac Fountain (Historical Landmark),200-34,150000,150000,510.03,149489.97,149489.97,
September 20% Development Economic Fund 2012,Economic Sector,Others,Others,"Completion Of Tramline-Access Transport Fac. for Farmers, Bato",-300-29b,1000000,1000000,-,1000000,1000000,
September 20% Development Economic Fund 2012,Economic Sector,Others,Others,"Construction Of Provl Multi-Purpose Bldg. (PAFC), Phase VI",-300-29d,1000000,1000000,9698.4,990301.6,990301.6,
September 20% Development Economic Fund 2012,Economic Sector,Sustainable Environment Program,Improvement of Materials Recovery Facility (MRF),Improvement of Materials Recovery Facility (MRF),300-29e-1,214388,214388,80094,134294,134294,
September 20% Development Economic Fund 2012,Economic Sector,Sustainable Environment Program,Establishment of Community Nurseries,Establishment of Community Nurseries,300-29e-2,335612,335612,96195,239417,239417,
September 20% Development Economic Fund 2012,Economic Sector,Sustainable Environment Program,Establishment of Community Nurseries,Environmental Sanitation Program,-300-29q,300000,300000,-,300000,300000,
September 20% Development Economic Fund 2012,Economic Sector,Sustainable Environment Program,Establishment of Community Nurseries,Debt Amortization,-300-29f,11200000,11200000,8250142.74,2949857.26,2949857.26,
September 20% Development Economic Fund 2012,General Public Services Sector,General Public Services Sector,"Embankment Of Passenger Terminal Site, Viga (CF)","Embankment Of Passenger Terminal Site, Viga (CF)",-300-31a,1000000,1000000,-,1000000,1000000,
September 20% Development Economic Fund 2012,General Public Services Sector,General Public Services Sector,"Construction Of PanganibanTerminal, Phase II (Counterpart)","Construction Of PanganibanTerminal, Phase II (Counterpart)",-300-31b,500000,500000,-,500000,500000,
September 20% Development Economic Fund 2012,General Public Services Sector,General Public Services Sector,Construction Of Youth Center Mall (Phase III),Construction Of Youth Center Mall (Phase III),-300-31f,14500000,14500000,14367841.57,132158.43,132158.43,
September 20% Development Economic Fund 2012,General Public Services Sector,General Public Services Sector,Construction Of Youth Center Mall (Phase IV),Construction Of Youth Center Mall (Phase IV),300-32,6000000,6000000,-,6000000,6000000,
September 20% Development Economic Fund 2012,General Public Services Sector,General Public Services Sector,Construction Of Youth Center Mall (Phase V),Construction Of Youth Center Mall (Phase V),200-35,17613000,17613000,13950792.52,3662207.48,3662207.48,
September 20% Development Economic Fund 2012,General Public Services Sector,General Public Services Sector,Rehabilitation Of Dome and Other Facilities,Rehabilitation Of Dome and Other Facilities,-300-31g,300000,300000,1759.08,298240.92,298240.92,
